municipality,municipality_code,county,county_name,county_code,land,nuts1_code,nuts1_name,nuts2_code,nuts2_name,nuts3_code
Vindeln,2404,Västerbotten,Västerbottens län,24,Norrland,SE3,Norra Sverige,SE33,Övre Norrland,SE331
Robertsfors,2409,Västerbotten,Västerbottens län,24,Norrland,SE3,Norra Sverige,SE33,Övre Norrland,SE331
Norsjö,2417,Västerbotten,Västerbottens län,24,Norrland,SE3,Norra Sverige,SE33,Övre Norrland,SE331
Malå,2418,Västerbotten,Västerbottens län,24,Norrland,SE3,Norra Sverige,SE33,Övre Norrland,SE331
Storuman,2421,Västerbotten,Västerbottens län,24,Norrland,SE3,Norra Sverige,SE33,Övre Norrland,SE331
Sorsele,2422,Västerbotten,Västerbottens län,24,Norrland,SE3,Norra Sverige,SE33,Övre Norrland,SE331
Dorotea,2425,Västerbotten,Västerbottens län,24,Norrland,SE3,Norra Sverige,SE33,Övre Norrland,SE331
Vännäs,2460,Västerbotten,Västerbottens län,24,Norrland,SE3,Norra Sverige,SE33,Övre Norrland,SE331
Vilhelmina,2462,Västerbotten,Västerbottens län,24,Norrland,SE3,Norra Sverige,SE33,Övre Norrland,SE331
Åsele,2463,Västerbotten,Västerbottens län,24,Norrland,SE3,Norra Sverige,SE33,Övre Norrland,SE331
Umeå,2480,Västerbotten,Västerbottens län,24,Norrland,SE3,Norra Sverige,SE33,Övre Norrland,SE331
Lycksele,2481,Västerbotten,Västerbottens län,24,Norrland,SE3,Norra Sverige,SE33,Övre Norrland,SE331
Skellefteå,2482,Västerbotten,Västerbottens län,24,Norrland,SE3,Norra Sverige,SE33,Övre Norrland,SE331
Arvidsjaur,2505,Norrbotten,Norrbottens län,25,Norrland,SE3,Norra Sverige,SE33,Övre Norrland,SE332
Arjeplog,2506,Norrbotten,Norrbottens län,25,Norrland,SE3,Norra Sverige,SE33,Övre Norrland,SE332
Jokkmokk,2510,Norrbotten,Norrbottens län,25,Norrland,SE3,Norra Sverige,SE33,Övre Norrland,SE332
Överkalix,2513,Norrbotten,Norrbottens län,25,Norrland,SE3,Norra Sverige,SE33,Övre Norrland,SE332
Kalix,2514,Norrbotten,Norrbottens län,25,Norrland,SE3,Norra Sverige,SE33,Övre Norrland,SE332
Övertorneå,2518,Norrbotten,Norrbottens län,25,Norrland,SE3,Norra Sverige,SE33,Övre Norrland,SE332
Pajala,2521,Norrbotten,Norrbottens län,25,Norrland,SE3,Norra Sverige,SE33,Övre Norrland,SE332
Gällivare,2523,Norrbotten,Norrbottens län,25,Norrland,SE3,Norra Sverige,SE33,Övre Norrland,SE332
Älvsbyn,2560,Norrbotten,Norrbottens län,25,Norrland,SE3,Norra Sverige,SE33,Övre Norrland,SE332
Luleå,2580,Norrbotten,Norrbottens län,25,Norrland,SE3,Norra Sverige,SE33,Övre Norrland,SE332
Piteå,2581,Norrbotten,Norrbottens län,25,Norrland,SE3,Norra Sverige,SE33,Övre Norrland,SE332
Boden,2582,Norrbotten,Norrbottens län,25,Norrland,SE3,Norra Sverige,SE33,Övre Norrland,SE332
Haparanda,2583,Norrbotten,Norrbottens län,25,Norrland,SE3,Norra Sverige,SE33,Övre Norrland,SE332
Kiruna,2584,Norrbotten,Norrbottens län,25,Norrland,SE3,Norra Sverige,SE33,Övre Norrland,SE332
